case_id,policy,t,wealth,goal_action,goal_take_decision,portfolio_action,portfolio_index
57,dp,1,0.0,0.0,0,0.03333333333333333,0
57,greedy,1,0.0,0.0,0,0.5,7
57,dp,1,0.1745762712,0.0,0,0.9666666666666667,14
57,greedy,1,0.1745762712,0.0,0,0.5,7
57,dp,1,0.3543898305,0.0,0,0.9666666666666667,14
57,greedy,1,0.3543898305,0.0,0,0.5,7
57,dp,1,0.5395977966,0.0,0,0.9666666666666667,14
57,greedy,1,0.5395977966,0.0,0,0.5,7
57,dp,1,0.7303620017,0.0,0,0.9666666666666667,14
57,greedy,1,0.7303620017,0.0,0,0.5,7
57,dp,1,0.9268491329,0.0,0,0.9666666666666667,14
57,greedy,1,0.9268491329,0.0,0,0.5,7
57,dp,1,1.0,1.0,1,0.03333333333333333,0
57,greedy,1,1.0,1.0,1,0.5,7
57,dp,1,1.1292308781,1.0,1,0.9666666666666667,14
57,greedy,1,1.1292308781,1.0,1,0.5,7
57,dp,1,1.3376840756,1.0,1,0.9666666666666667,14
57,greedy,1,1.3376840756,1.0,1,0.5,7
57,dp,1,1.5523908691,1.0,1,0.9666666666666667,14
57,greedy,1,1.5523908691,1.0,1,0.5,7
57,dp,1,1.7735388664,1.0,1,0.9666666666666667,14
57,greedy,1,1.7735388664,1.0,1,0.5,7
57,dp,1,2.0,1.0,1,0.9666666666666667,14
57,greedy,1,2.0,1.0,1,0.5,7
57,dp,1,2.0013213035,1.0,1,0.9666666666666667,14
57,greedy,1,2.0013213035,1.0,1,0.5,7
57,dp,1,2.2359372138,1.0,1,0.9666666666666667,14
57,greedy,1,2.2359372138,1.0,1,0.5,7
57,dp,1,2.4775916014,1.0,1,0.9666666666666667,14
57,greedy,1,2.4775916014,1.0,1,0.5,7
57,dp,1,2.7264956207,1.0,1,0.9666666666666667,14
57,greedy,1,2.7264956207,1.0,1,0.5,7
57,dp,1,2.9828667605,1.0,1,0.9666666666666667,14
57,greedy,1,2.9828667605,1.0,1,0.5,7
57,dp,1,3.0,1.0,1,0.9666666666666667,14
57,greedy,1,3.0,1.0,1,0.5,7
57,dp,1,3.2469290345,1.0,1,0.9666666666666667,14
57,greedy,1,3.2469290345,1.0,1,0.5,7
57,dp,1,3.5189131767,1.0,1,0.9666666666666667,14
57,greedy,1,3.5189131767,1.0,1,0.5,7
57,dp,1,3.7990568432,1.0,1,0.9666666666666667,14
57,greedy,1,3.7990568432,1.0,1,0.5,7
57,dp,1,4.0,1.0,1,0.9666666666666667,14
57,greedy,1,4.0,1.0,1,0.5,7
57,dp,1,4.0876048196,1.0,1,0.9666666666666667,14
57,greedy,1,4.0876048196,1.0,1,0.5,7
57,dp,1,4.3848092354,1.0,1,0.9666666666666667,14
57,greedy,1,4.3848092354,1.0,1,0.5,7
57,dp,1,4.6909297837,1.0,1,0.9666666666666667,14
57,greedy,1,4.6909297837,1.0,1,0.5,7
57,dp,1,5.0,1.0,1,0.9666666666666667,14
57,greedy,1,5.0,1.0,1,0.5,7
57,dp,1,5.0062339484,1.0,1,0.9666666666666667,14
57,greedy,1,5.0062339484,1.0,1,0.5,7
57,dp,1,5.330997238,1.0,1,0.9666666666666667,14
57,greedy,1,5.330997238,1.0,1,0.5,7
57,dp,1,5.6655034263,1.0,1,0.9666666666666667,14
57,greedy,1,5.6655034263,1.0,1,0.5,7
57,dp,1,6.0,1.0,1,0.9666666666666667,14
57,greedy,1,6.0,1.0,1,0.5,7
57,dp,1,6.0100448003,1.0,1,0.9666666666666667,14
57,greedy,1,6.0100448003,1.0,1,0.5,7
57,dp,1,6.3649224155,1.0,1,0.9666666666666667,14
